Entry	Protein names	Gene names	Gene names  (primary )	Cross-reference (GeneID)	Cross-reference (Ensembl)	Length	Mass	Status
Q5T4J0	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 6 (EC 2.4.1.-)	GCNT6	GCNT6			391	44,527	reviewed
Q9H3P7	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed]	ACBD3 GCP60 GOCAP1 GOLPH1	ACBD3	64746;	ENST00000366812;	528	60,593	reviewed
P16260	Graves disease carrier protein (GDC) (Graves disease autoantigen) (GDA) (Mitochondrial solute carrier protein homolog) (Solute carrier family 25 member 16)	SLC25A16 GDA	SLC25A16	8034;	ENST00000609923;	332	36,224	reviewed
P35573	Glycogen debranching enzyme (Glycogen debrancher) [Includes: 4-alpha-glucanotransferase (EC 2.4.1.25) (Oligo-1,4-1,4-glucantransferase); Amylo-alpha-1,6-glucosidase (Amylo-1,6-glucosidase) (EC 3.2.1.33) (Dextrin 6-alpha-D-glucosidase)]	AGL GDE	AGL	178;	ENST00000294724;ENST00000361302;ENST00000361522;ENST00000361915;ENST00000370161;ENST00000370163;ENST00000370165;	1532	174,764	reviewed
P52566	Rho GDP-dissociation inhibitor 2 (Rho GDI 2) (Ly-GDI) (Rho-GDI beta)	ARHGDIB GDIA2 GDID4 RAP1GN1	ARHGDIB	397;	ENST00000228945;ENST00000541546;ENST00000541644;	201	22,988	reviewed
P07093	Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2)	SERPINE2 PI7 PN1	SERPINE2	5270;	ENST00000258405;ENST00000409304;ENST00000409840;ENST00000447280;	398	44,002	reviewed
Q6ZNW5	GDP-D-glucose phosphorylase 1 (EC 2.7.7.78)	GDPGP1 C15orf58	GDPGP1	390637;	ENST00000329600;ENST00000558017;	385	42,362	reviewed
Q06210	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)	GFPT1 GFAT GFPT	GFPT1	2673;	ENST00000357308;ENST00000361060;	699	78,806	reviewed
P56159	GDNF family receptor alpha-1 (GDNF receptor alpha-1) (GDNFR-alpha-1) (GFR-alpha-1) (RET ligand 1) (TGF-beta-related neurotrophic factor receptor 1)	GFRA1 GDNFRA RETL1 TRNR1	GFRA1	2674;	ENST00000355422;ENST00000369234;ENST00000369236;ENST00000439649;	465	51,456	reviewed
O60609	GDNF family receptor alpha-3 (GDNF receptor alpha-3) (GDNFR-alpha-3) (GFR-alpha-3)	GFRA3 UNQ339/PRO538/PRO3664	GFRA3	2676;	ENST00000274721;ENST00000378362;	400	44,511	reviewed
A1L429	G antigen 12B/C/D/E (GAGE-12B) (GAGE-12C) (GAGE-12D) (GAGE-12E)	GAGE12B; GAGE12C; GAGE12D; GAGE12E	GAGE12B; GAGE12C; GAGE12D; GAGE12E	100132399;729422;729428;729431;	ENST00000381698;ENST00000405679;ENST00000420398;	117	12,925	reviewed
Q8N7Z2	Golgin subfamily A member 6-like protein 1	GOLGA6L1	GOLGA6L1			621	77,076	reviewed
H0YM25	Golgin subfamily A member 6-like protein 22	GOLGA6L22	GOLGA6L22			854	107,774	reviewed
Q9UJY5	ADP-ribosylation factor-binding protein GGA1 (Gamma-adaptin-related protein 1) (Golgi-localized, gamma ear-containing, ARF-binding protein 1)	GGA1	GGA1	26088;	ENST00000325180;ENST00000343632;ENST00000381756;ENST00000406772;	639	70,384	reviewed
Q9BVM4	Gamma-glutamylaminecyclotransferase (GGACT) (EC 2.3.2.4) (AIG2-like domain-containing protein 1) (Gamma-glutamylamine cyclotransferase)	GGACT A2LD1	GGACT	87769;	ENST00000376250;ENST00000455100;	153	17,329	reviewed
O75223	Gamma-glutamylcyclotransferase (EC 2.3.2.4) (Cytochrome c-releasing factor 21)	GGCT C7orf24 CRF21	GGCT	79017;	ENST00000005374;ENST00000275428;ENST00000409144;ENST00000409390;	188	21,008	reviewed
Q8WXT5	Forkhead box protein D4-like 4 (FOXD4-like 4) (Forkhead box protein D4-like 2) (Forkhead box protein D4B) (Myeloid factor-gamma)	FOXD4L4 FOXD4B FOXD4L2	FOXD4L4	349334;	ENST00000377413;	416	45,892	reviewed
Q8NEE6	F-box/LRR-repeat protein 13 (F-box and leucine-rich repeat protein 13)	FBXL13 FBL13	FBXL13	222235;	ENST00000313221;ENST00000379305;ENST00000436908;ENST00000455112;ENST00000456695;	735	83,924	reviewed
Q9UP38	Frizzled-1 (Fz-1) (hFz1) (FzE1)	FZD1	FZD1	8321;	ENST00000287934;	647	71,158	reviewed
O14556	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)	GAPDHS GAPD2 GAPDH2 GAPDS HSD-35 HSD35	GAPDHS	26330;	ENST00000222286;	408	44,501	reviewed
Q99999	Galactosylceramide sulfotransferase (GalCer sulfotransferase) (EC 2.8.2.11) (3'-phosphoadenosine-5'-phosphosulfate:GalCer sulfotransferase) (3'-phosphoadenylylsulfate:galactosylceramide 3'-sulfotransferase) (Cerebroside sulfotransferase)	GAL3ST1 CST	GAL3ST1	9514;	ENST00000338911;ENST00000401975;ENST00000402321;ENST00000402369;ENST00000406361;ENST00000406955;	423	48,764	reviewed
Q8TAE8	Growth arrest and DNA damage-inducible proteins-interacting protein 1 (39S ribosomal protein L59, mitochondrial) (MRP-L59) (CKII beta-associating protein) (CR6-interacting factor 1) (CRIF1) (Papillomavirus L2-interacting nuclear protein 1) (PLINP) (PLINP-1) (p53-responsive gene 6 protein)	GADD45GIP1 MRPL59 PLINP1 PRG6	GADD45GIP1	90480;	ENST00000316939;	222	25,384	reviewed
O75293	Growth arrest and DNA damage-inducible protein GADD45 beta (Myeloid differentiation primary response protein MyD118) (Negative growth regulatory protein MyD118)	GADD45B MYD118	GADD45B	4616;	ENST00000215631;	160	17,818	reviewed
Q8WWW8	GRB2-associated-binding protein 3 (GRB2-associated binder 3) (Growth factor receptor bound protein 2-associated protein 3)	GAB3	GAB3	139716;	ENST00000369568;ENST00000369575;ENST00000424127;	586	65,589	reviewed
Q06546	GA-binding protein alpha chain (GABP subunit alpha) (Nuclear respiratory factor 2 subunit alpha) (Transcription factor E4TF1-60)	GABPA E4TF1A	GABPA	2551;	ENST00000354828;ENST00000400075;	454	51,295	reviewed
Q13070	G antigen 6 (GAGE-6) (Cancer/testis antigen 4.6) (CT4.6)	GAGE6	GAGE6	2578;		117	12,892	reviewed
P63145	Endogenous retrovirus group K member 24 Gag polyprotein (HERV-K101 Gag protein) (HERV-K_22q11.21 provirus ancestral Gag polyprotein) (Gag polyprotein)	ERVK-24	ERVK-24			666	74,040	reviewed
Q9UBC7	Galanin-like peptide	GALP	GALP	85569;	ENST00000357330;ENST00000440823;ENST00000590002;	116	12,545	reviewed
Q8N292	Protein GAPT (Growth factor receptor-bound protein 2-binding adapter protein, transmembrane)	GAPT C5orf29	GAPT	202309;	ENST00000318469;ENST00000396776;	157	17,883	reviewed
Q9H706	GRB2-associated and regulator of MAPK protein 1 (GRB2-associated and regulator of MAPK1)	GAREM1 C18orf11 FAM59A GAREM	GAREM1	64762;	ENST00000269209;ENST00000399218;	876	97,186	reviewed
Q5JY77	G-protein coupled receptor-associated sorting protein 1 (GASP-1)	GPRASP1 GASP KIAA0443	GPRASP1	9737;	ENST00000361600;ENST00000415986;ENST00000444152;ENST00000537097;	1395	156,865	reviewed
Q9BWX5	Transcription factor GATA-5 (GATA-binding factor 5)	GATA5	GATA5	140628;	ENST00000252997;	397	41,299	reviewed
P23771	Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3)	GATA3	GATA3	2625;	ENST00000346208;ENST00000379328;	443	47,916	reviewed
O43716	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-) (Protein 15E1.2)	GATC 15E1.2	GATC	283459;	ENST00000551765;	136	15,086	reviewed
P32455	Guanylate-binding protein 1 (EC 3.6.5.-) (GTP-binding protein 1) (GBP-1) (HuGBP-1) (Guanine nucleotide-binding protein 1) (Interferon-induced guanylate-binding protein 1)	GBP1	GBP1	2633;	ENST00000370473;	592	67,931	reviewed
Q96PP8	Guanylate-binding protein 5 (EC 3.6.5.-) (GBP-TA antigen) (GTP-binding protein 5) (GBP-5) (Guanine nucleotide-binding protein 5)	GBP5 UNQ2427/PRO4987	GBP5	115362;	ENST00000370459;	586	66,617	reviewed
Q8N1C3	Gamma-aminobutyric acid receptor subunit gamma-1 (GABA(A) receptor subunit gamma-1)	GABRG1	GABRG1	2565;	ENST00000295452;	465	53,595	reviewed
A8MPY1	Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABA(C) receptor)	GABRR3	GABRR3	200959;	ENST00000472788;ENST00000621172;	467	54,272	reviewed
Q8WZA8	Putative gastric cancer-related gene 224 protein (GCRG-224) (GCRG-p224)	GCRG224	GCRG224			35	3,819	reviewed
Q96CN9	GRIP and coiled-coil domain-containing protein 1 (Golgi coiled-coil protein 1)	GCC1	GCC1	79571;	ENST00000321407;	775	87,811	reviewed
Q92947	Glutaryl-CoA dehydrogenase, mitochondrial (GCD) (EC 1.3.8.6)	GCDH	GCDH	2639;	ENST00000222214;ENST00000591470;	438	48,127	reviewed
P30793	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	GCH1 DYT5 GCH	GCH1	2643;	ENST00000395514;ENST00000491895;ENST00000536224;ENST00000543643;ENST00000622544;	250	27,903	reviewed
Q96RT7	Gamma-tubulin complex component 6 (GCP-6)	TUBGCP6 GCP6 KIAA1669	TUBGCP6	85378;	ENST00000248846;	1819	200,498	reviewed
P04150	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	NR3C1 GRL	NR3C1	2908;	ENST00000231509;ENST00000343796;ENST00000394464;ENST00000394466;ENST00000415690;ENST00000424646;ENST00000503201;ENST00000504572;	777	85,659	reviewed
Q96MZ0	Ganglioside-induced differentiation-associated protein 1-like 1 (GDAP1-L1)	GDAP1L1	GDAP1L1	78997;	ENST00000342560;ENST00000372952;ENST00000537864;	367	41,973	reviewed
Q02108	Guanylate cyclase soluble subunit alpha-3 (GCS-alpha-3) (EC 4.6.1.2) (GCS-alpha-1) (Soluble guanylate cyclase large subunit)	GUCY1A3 GUC1A3 GUCSA3 GUCY1A1	GUCY1A3	2982;	ENST00000296518;ENST00000455639;ENST00000506455;ENST00000511108;ENST00000511507;ENST00000513574;	690	77,452	reviewed
O95390	Growth/differentiation factor 11 (GDF-11) (Bone morphogenetic protein 11) (BMP-11)	GDF11 BMP11	GDF11	10220;	ENST00000257868;	407	45,091	reviewed
Q9NR23	Growth/differentiation factor 3 (GDF-3)	GDF3 UNQ222/PRO248	GDF3	9573;	ENST00000329913;	364	41,387	reviewed
P50395	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2)	GDI2 RABGDIB	GDI2	2665;	ENST00000380181;ENST00000380191;	445	50,663	reviewed
P52565	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	ARHGDIA GDIA1	ARHGDIA	396;	ENST00000269321;ENST00000400721;ENST00000541078;ENST00000580685;	204	23,207	reviewed
Q8N9F7	Glycerophosphodiester phosphodiesterase domain-containing protein 1 (EC 3.1.-.-) (Glycerophosphodiester phosphodiesterase 4)	GDPD1 GDE4	GDPD1	284161;	ENST00000284116;ENST00000581140;ENST00000581276;	314	36,167	reviewed
Q8WTR4	Glycerophosphodiester phosphodiesterase domain-containing protein 5 (EC 3.1.-.-) (Glycerophosphodiester phosphodiesterase 2)	GDPD5 GDE2 PP6037 PP9363 UNQ1850/PRO3580	GDPD5	81544;	ENST00000336898;ENST00000526177;ENST00000529721;ENST00000533784;ENST00000533805;	605	68,586	reviewed
O14893	Gem-associated protein 2 (Gemin-2) (Component of gems 2) (Survival of motor neuron protein-interacting protein 1) (SMN-interacting protein 1)	GEMIN2 SIP1	GEMIN2	8487;	ENST00000250379;ENST00000308317;ENST00000396249;ENST00000412033;	280	31,585	reviewed
Q9H840	Gem-associated protein 7 (Gemin-7) (SIP3)	GEMIN7	GEMIN7	79760;	ENST00000270257;ENST00000391951;ENST00000591607;ENST00000591747;	131	14,537	reviewed
P55040	GTP-binding protein GEM (GTP-binding mitogen-induced T-cell protein) (RAS-like protein KIR)	GEM KIR	GEM	2669;	ENST00000297596;ENST00000396194;	296	33,949	reviewed
Q17RS7	Flap endonuclease GEN homolog 1 (EC 3.1.-.-)	GEN1	GEN1	348654;	ENST00000317402;ENST00000381254;	908	102,884	reviewed
A6NDE8	G antigen 12H (GAGE-12H)	GAGE12H	GAGE12H	729442;	ENST00000381722;	117	12,924	reviewed
A6NEY3	Putative golgin subfamily A member 6-like protein 3	GOLGA6L3	GOLGA6L3			463	55,643	reviewed
Q5JRK9	Putative G antigen family E member 3 (Prostate-associated gene 2B protein) (PAGE-2B)	PAGE2B GAGEE3	PAGE2B	389860;	ENST00000374971;	111	12,041	reviewed
P36268	Inactive gamma-glutamyltranspeptidase 2 (GGT 2) (Gamma-glutamyltransferase 2) (Glutathione hydrolase 2)	GGT2	GGT2		ENST00000401924;ENST00000424627;	569	61,771	reviewed
Q9UJ14	Gamma-glutamyltransferase 7 (GGT 7) (EC 2.3.2.2) (Gamma-glutamyltransferase-like 3) (Gamma-glutamyltransferase-like 5) (Gamma-glutamyltranspeptidase 7) (Glutathione hydrolase 7) (EC 3.4.19.13) [Cleaved into: Gamma-glutamyltransferase 7 heavy chain; Gamma-glutamyltransferase 7 light chain]	GGT7 GGTL3 GGTL5	GGT7	2686;	ENST00000336431;	662	70,467	reviewed
Q9NWU2	Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1)	GID8 C20orf11	GID8	54994;	ENST00000266069;	228	26,749	reviewed
Q96F15	GTPase IMAP family member 5 (Immunity-associated nucleotide 4-like 1 protein) (Immunity-associated nucleotide 5 protein) (IAN-5) (hIAN5) (Immunity-associated protein 3)	GIMAP5 IAN4L1 IAN5 IMAP3	GIMAP5	55340;	ENST00000358647;ENST00000498181;	307	34,846	reviewed
Q8ND71	GTPase IMAP family member 8 (Immune-associated nucleotide-binding protein 9) (IAN-9) (Protein IanT)	GIMAP8 IAN9 IANT	GIMAP8	155038;	ENST00000307271;	665	74,890	reviewed
Q9Y2X7	ARF GTPase-activating protein GIT1 (ARF GAP GIT1) (Cool-associated and tyrosine-phosphorylated protein 1) (CAT-1) (CAT1) (G protein-coupled receptor kinase-interactor 1) (GRK-interacting protein 1)	GIT1	GIT1	28964;	ENST00000225394;ENST00000394869;	761	84,341	reviewed
Q8IVK1	Putative glycosylation-dependent cell adhesion molecule 1 (GlyCAM-1)	GLYCAM1	GLYCAM1			47	5,018	reviewed
P04062	Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (D-glucosyl-N-acylsphingosine glucohydrolase) (Imiglucerase)	GBA GC GLUC	GBA	2629;	ENST00000327247;ENST00000368373;ENST00000427500;ENST00000428024;	536	59,716	reviewed
Q6PIY7	Poly(A) RNA polymerase GLD2 (hGLD-2) (EC 2.7.7.19) (PAP-associated domain-containing protein 4) (Terminal uridylyltransferase 2) (TUTase 2)	PAPD4 GLD2	PAPD4	167153;	ENST00000296783;ENST00000423041;ENST00000428308;ENST00000453514;	484	56,028	reviewed
P57057	Glucose-6-phosphate exchanger SLC37A1 (Glycerol-3-phosphate permease) (G-3-P permease) (Solute carrier family 37 member 1)	SLC37A1 G3PP	SLC37A1	54020;	ENST00000352133;ENST00000398341;	533	57,648	reviewed
Q8TED4	Glucose-6-phosphate exchanger SLC37A2 (Solute carrier family 37 member 2)	SLC37A2	SLC37A2	219855;	ENST00000308074;ENST00000403796;	501	54,436	reviewed
Q9UBA6	Protein G8	C6orf48 G8	C6orf48	50854;	ENST00000375633;ENST00000375635;ENST00000375638;ENST00000375639;ENST00000375640;ENST00000375641;ENST00000375642;ENST00000383383;ENST00000383384;ENST00000383385;ENST00000395788;ENST00000395789;ENST00000400034;ENST00000400035;ENST00000400037;ENST00000400038;ENST00000400039;ENST00000413638;ENST00000414434;ENST00000414536;ENST00000416886;ENST00000421039;ENST00000421605;ENST00000423640;ENST00000423916;ENST00000424962;ENST00000426843;ENST00000430690;ENST00000433697;ENST00000433752;ENST00000435938;ENST00000436205;ENST00000436495;ENST00000436558;ENST00000439865;ENST00000439907;ENST00000440361;ENST00000443974;ENST00000444192;ENST00000444331;ENST00000444974;ENST00000450610;ENST00000456268;ENST00000456690;ENST00000458514;ENST00000549426;ENST00000550492;ENST00000550685;ENST00000552514;ENST00000614363;	75	8,344	reviewed
Q8TAK5	GA-binding protein subunit beta-2 (GABP subunit beta-2) (GABPB-2)	GABPB2	GABPB2	126626;	ENST00000368918;	448	48,650	reviewed
O75899	Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20)	GABBR2 GPR51 GPRC3B	GABBR2	9568;	ENST00000259455;	941	105,821	reviewed
Q9YNA8	Endogenous retrovirus group K member 19 Gag polyprotein (HERV-K(C19) Gag protein) (HERV-K_19q11 provirus ancestral Gag polyprotein) (Gag polyprotein)	ERVK-19	ERVK-19			666	74,183	reviewed
Q7LDI9	Endogenous retrovirus group K member 6 Gag polyprotein (HERV-K(C7) Gag protein) (HERV-K(HML-2.HOM) Gag protein) (HERV-K108 Gag protein) (HERV-K_7p22.1 provirus ancestral Gag polyprotein) (Gag polyprotein)	ERVK-6 ERVK6	ERVK-6			666	74,079	reviewed
Q14376	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylgalactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactose 4-epimerase)	GALE	GALE	2582;	ENST00000374497;ENST00000617979;	348	38,282	reviewed
Q7Z7M9	Polypeptide N-acetylgalactosaminyltransferase 5 (EC 2.4.1.41) (Polypeptide GalNAc transferase 5) (GalNAc-T5) (pp-GaNTase 5) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5)	GALNT5	GALNT5	11227;	ENST00000259056;	940	106,266	reviewed
Q9HCQ5	Polypeptide N-acetylgalactosaminyltransferase 9 (EC 2.4.1.41) (Polypeptide GalNAc transferase 9) (GalNAc-T9) (pp-GaNTase 9) (Protein-UDP acetylgalactosaminyltransferase 9) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 9)	GALNT9	GALNT9	50614;	ENST00000397325;ENST00000541995;	603	68,359	reviewed
P07902	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	GALT	GALT	2592;	ENST00000378842;ENST00000450095;	379	43,363	reviewed
O43903	Growth arrest-specific protein 2 (GAS-2)	GAS2	GAS2	2620;	ENST00000278187;ENST00000454584;ENST00000524701;ENST00000630668;	313	34,945	reviewed
P01350	Gastrin [Cleaved into: Gastrin-71 (Gastrin component I); Gastrin-52 (G52); Big gastrin (Gastrin component II) (Gastrin-34) (G34); Gastrin (Gastrin component III) (Gastrin-17) (G17); Gastrin-14 (G14); Gastrin-6 (G6)]	GAST GAS	GAST	2520;	ENST00000329402;	101	11,394	reviewed
P15976	Erythroid transcription factor (Eryf1) (GATA-binding factor 1) (GATA-1) (GF-1) (NF-E1 DNA-binding protein)	GATA1 ERYF1 GF1	GATA1	2623;	ENST00000376670;	413	42,751	reviewed
P23769	Endothelial transcription factor GATA-2 (GATA-binding protein 2)	GATA2	GATA2	2624;	ENST00000341105;ENST00000430265;ENST00000487848;	480	50,500	reviewed
Q9H227	Cytosolic beta-glucosidase (EC 3.2.1.21) (Cytosolic beta-glucosidase-like protein 1)	GBA3 CBG CBGL1	GBA3	57733;		469	53,696	reviewed
P63211	Guanine nucleotide-binding protein G(T) subunit gamma-T1 (Transducin gamma chain)	GNGT1	GNGT1	2792;	ENST00000248572;ENST00000429473;	74	8,496	reviewed
O14610	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2 (G gamma-C) (G-gamma-8) (G-gamma-9) (Guanine nucleotide binding protein gamma transducing activity polypeptide 2)	GNGT2 GNG8 GNG9 GNGT8	GNGT2	2793;	ENST00000300406;ENST00000507680;ENST00000511277;ENST00000511673;ENST00000515635;	69	7,747	reviewed
P34903	Gamma-aminobutyric acid receptor subunit alpha-3 (GABA(A) receptor subunit alpha-3)	GABRA3	GABRA3	2556;	ENST00000370314;ENST00000535043;	492	55,165	reviewed
P48169	Gamma-aminobutyric acid receptor subunit alpha-4 (GABA(A) receptor subunit alpha-4)	GABRA4	GABRA4	2557;	ENST00000264318;	554	61,623	reviewed
P60520	Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Ganglioside expression factor 2) (GEF-2) (General protein transport factor p16) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16) (MAP1 light chain 3-related protein)	GABARAPL2 FLC3A GEF2	GABARAPL2	11345;	ENST00000037243;	117	13,667	reviewed
Q9NP62	Chorion-specific transcription factor GCMa (hGCMa) (GCM motif protein 1) (Glial cells missing homolog 1)	GCM1 GCMA	GCM1	8521;	ENST00000259803;	436	49,268	reviewed
P33402	Guanylate cyclase soluble subunit alpha-2 (GCS-alpha-2) (EC 4.6.1.2)	GUCY1A2 GUC1A2 GUCSA2	GUCY1A2	2977;	ENST00000282249;ENST00000347596;ENST00000526355;	732	81,750	reviewed
Q9NZC3	Glycerophosphodiester phosphodiesterase 1 (EC 3.1.4.44) (Membrane-interacting protein of RGS16) (RGS16-interacting membrane protein)	GDE1 MIR16	GDE1	51573;	ENST00000353258;	331	37,718	reviewed
P55107	Growth/differentiation factor 10 (GDF-10) (Bone morphogenetic protein 3B) (BMP-3B) (Bone-inducing protein) (BIP)	GDF10 BMP3B	GDF10	2662;	ENST00000580279;	478	53,122	reviewed
Q99988	Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1) (NSAID-activated gene 1 protein) (NAG-1) (NSAID-regulated gene 1 protein) (NRG-1) (Placental TGF-beta) (Placental bone morphogenetic protein) (Prostate differentiation factor)	GDF15 MIC1 PDF PLAB PTGFB	GDF15	9518;	ENST00000252809;	308	34,140	reviewed
Q9UK05	Growth/differentiation factor 2 (GDF-2) (Bone morphogenetic protein 9) (BMP-9)	GDF2 BMP9	GDF2	2658;	ENST00000581492;	429	47,320	reviewed
Q6KF10	Growth/differentiation factor 6 (GDF-6) (Bone morphogenetic protein 13) (BMP-13) (Growth/differentiation factor 16)	GDF6 BMP13 GDF16	GDF6	392255;	ENST00000287020;	455	50,662	reviewed
Q9HCC8	Glycerophosphoinositol inositolphosphodiesterase GDPD2 (EC 3.1.4.43) (Glycerophosphodiester phosphodiesterase 3) (Glycerophosphodiester phosphodiesterase domain-containing protein 2) (Osteoblast differentiation promoting factor)	GDPD2 GDE3 OBDPF UNQ1935/PRO4418	GDPD2	54857;	ENST00000374382;ENST00000453994;ENST00000536730;ENST00000538649;	539	61,729	reviewed
P52306	Rap1 GTPase-GDP dissociation stimulator 1 (Exchange factor smgGDS) (SMG GDS protein) (SMG P21 stimulatory GDP/GTP exchange protein)	RAP1GDS1	RAP1GDS1	5910;	ENST00000264572;ENST00000339360;ENST00000380158;ENST00000408900;ENST00000408927;ENST00000453712;	607	66,317	reviewed
P57678	Gem-associated protein 4 (Gemin-4) (Component of gems 4) (p97)	GEMIN4	GEMIN4	50628;	ENST00000319004;	1058	120,037	reviewed
Q8WXD5	Gem-associated protein 6 (Gemin-6) (SIP2)	GEMIN6	GEMIN6	79833;	ENST00000281950;	167	18,824	reviewed
O75496	Geminin	GMNN	GMNN	51053;	ENST00000230056;ENST00000356509;ENST00000620958;	209	23,565	reviewed
A6NEF3	Golgin subfamily A member 6-like protein 4	GOLGA6L4	GOLGA6L4	643707;	ENST00000510439;	574	67,563	reviewed
H0YKK7	Putative golgin subfamily A member 6-like protein 19	GOLGA6L19	GOLGA6L19	101927601;		550	64,493	reviewed
Q9HBQ8	Putative golgin subfamily A member 2B (Golgin subfamily A member 2-like protein 1)	GOLGA2P5 GOLGA2B GOLGA2L1 PP1757	GOLGA2P5			144	15,482	reviewed
Q9NZ52	ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)	GGA3 KIAA0154	GGA3	23163;	ENST00000537686;ENST00000538886;ENST00000578348;ENST00000582717;	723	78,315	reviewed
Q9UEU5	G antigen 2D (GAGE-2D) (Cancer/testis antigen 4.8) (CT4.8) (G antigen 8) (GAGE-8)	GAGE2D; GAGE8	GAGE2D; GAGE8	100101629;26749;729408;		116	12,764	reviewed
Q5YKI7	Putative gametogenetin-binding protein 1	GGNBP1	GGNBP1			109	12,309	reviewed
P36269	Gamma-glutamyltransferase 5 (GGT 5) (EC 2.3.2.2) (Gamma-glutamyl transpeptidase-related enzyme) (GGT-rel) (Gamma-glutamyltransferase-like activity 1) (Gamma-glutamyltranspeptidase 5) (Glutathione hydrolase 5) (EC 3.4.19.13) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) [Cleaved into: Gamma-glutamyltransferase 5 heavy chain; Gamma-glutamyltransferase 5 light chain]	GGT5 GGTLA1	GGT5	2687;	ENST00000263112;ENST00000327365;ENST00000398292;	586	62,261	reviewed
Q9BX51	Gamma-glutamyltransferase light chain 1 (Gamma-glutamyltransferase-like activity 4) (Gamma-glutamyltransferase-like protein 6)	GGTLC1 GGTLA4	GGTLC1	92086;	ENST00000278765;ENST00000286890;ENST00000335694;	225	24,274	reviewed
P10912	Growth hormone receptor (GH receptor) (Somatotropin receptor) [Cleaved into: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]	GHR	GHR	2690;	ENST00000230882;ENST00000357703;ENST00000537449;ENST00000612382;ENST00000612626;ENST00000615111;ENST00000618088;	638	71,500	reviewed
Q92847	Growth hormone secretagogue receptor type 1 (GHS-R) (GH-releasing peptide receptor) (GHRP) (Ghrelin receptor)	GHSR	GHSR	2693;	ENST00000241256;ENST00000427970;	366	41,329	reviewed
Q5VSY0	G kinase-anchoring protein 1 (cGMP-dependent protein kinase-anchoring protein of 42 kDa)	GKAP1 GKAP42 FKSG21	GKAP1	80318;	ENST00000376365;ENST00000376371;	366	42,078	reviewed
Q7Z4J2	Glycosyltransferase 6 domain-containing protein 1 (EC 2.4.1.-) (Galactosyltransferase family 6 domain-containing 1)	GLT6D1 GLTDC1 GT6M7	GLT6D1	360203;	ENST00000371763;	308	36,274	reviewed
