Complex name	Complex size	Organism	Number of RNA-binding subunits	Number of SUMOylated subunits	RNA binding	SUMOylated	RNA.SUMO
TREX complex	8	human	8	4	TRUE	TRUE	TRUE.TRUE
NDPKA-AMPKalpha1 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
THO complex	5	human	5	2	TRUE	TRUE	TRUE.TRUE
LARC complex (LCR-associated remodeling complex)	19	human	4	18	TRUE	TRUE	TRUE.TRUE
URI complex (Unconventional prefoldin RPB5 Interactor)	9	human	0	4	FALSE	TRUE	FALSE.TRUE
ITCH-FAM/USP9x complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
SMG-1-Upf1-eRF1-eRF3 complex (SURF)	5	human	3	2	TRUE	TRUE	TRUE.TRUE
Exon junction complex	8	human	8	4	TRUE	TRUE	TRUE.TRUE
MR-UBC9-SRC1 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
NuA4/Tip60-HAT complex B	8	human	0	5	FALSE	TRUE	FALSE.TRUE
Exosome	11	human	11	3	TRUE	TRUE	TRUE.TRUE
DDB complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
SNARE complex (VAMP2, SNAP25, STX1a, CPLX1)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (VAMP2, SNAP25, STX1a, CPLX2)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (STX11, VAMP2, SNAP23)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
NuA4/Tip60-HAT complex A	15	human	0	9	FALSE	TRUE	FALSE.TRUE
DMAP1-associated complex	10	human	0	7	FALSE	TRUE	FALSE.TRUE
SNARE complex (STX2, SNAP23)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (STX4, SNAP23)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
BRM-SIN3A-HDAC complex	12	human	3	10	TRUE	TRUE	TRUE.TRUE
eRF1-eRF3-GTP-Mg(2+) complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
FCP1-associated protein complex	7	human	3	4	TRUE	TRUE	TRUE.TRUE
Upf complex (UPF1, UPF2, UPF3a)	3	human	3	1	TRUE	TRUE	TRUE.TRUE
Upf complex (UPF1, UPF2, UPF3b)	3	human	3	1	TRUE	TRUE	TRUE.TRUE
Postsplicing complex	7	human	7	3	TRUE	TRUE	TRUE.TRUE
MRIP-MBS-RHOA complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
20S methylosome-SmD complex	4	human	3	3	TRUE	TRUE	TRUE.TRUE
SNARE complex (STX6, SNAP23)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	10	human	10	3	TRUE	TRUE	TRUE.TRUE
JBP1-pICln complex	3	human	2	2	TRUE	TRUE	TRUE.TRUE
TRPC1-STIM1-ORAI1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
PAR-6-VE-cadherin complex, endothelial	3	human	0	0	FALSE	FALSE	FALSE.FALSE
PAR-6-PAR-3-VE-cadherin complex, endothelial	4	human	0	0	FALSE	FALSE	FALSE.FALSE
Anti-Sm protein complex	7	human	3	4	TRUE	TRUE	TRUE.TRUE
6S methyltransferase complex	3	human	3	2	TRUE	TRUE	TRUE.TRUE
20S methylosome and RG-containing Sm protein complex	6	human	5	5	TRUE	TRUE	TRUE.TRUE
6S methyltransferase and RG-containing Sm proteins complex	8	human	8	7	TRUE	TRUE	TRUE.TRUE
20S methyltransferase core complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
LIN9-BMYB complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
PCI-PSA-SCG2 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
RICH1/AMOT polarity complex, Flag-Rich1 precipitated	9	human	0	4	FALSE	TRUE	FALSE.TRUE
RICH1-PAR3-aPKC polarity complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
RICH1/AMOT polarity complex, Flag-Amot precipitated	8	human	0	3	FALSE	TRUE	FALSE.TRUE
DNMT1-G9a-PCNA complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
DNMT1-G9a complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
TRAP-SMCC mediator complex	10	human	0	3	FALSE	TRUE	FALSE.TRUE
BRAF53-BRCA2 complex	7	human	2	7	TRUE	TRUE	TRUE.TRUE
SNARE complex (STX1A, SNAP29)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (VAMP3, VAMP4, VAMP8, STX6)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (VAMP3, VAMP4, STX16)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (VAMP3, STX6, VTI1A)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (VAMP4, STX6, STX16, VTI1a, VTI1b)	5	human	0	0	FALSE	FALSE	FALSE.FALSE
PRKAC-AKAP5-ADRB1 complex	5	human	0	0	FALSE	FALSE	FALSE.FALSE
MTA1 complex	6	human	2	4	TRUE	TRUE	TRUE.TRUE
MTA2 complex	9	human	2	7	TRUE	TRUE	TRUE.TRUE
MTA1-HDAC core complex	5	human	2	3	TRUE	TRUE	TRUE.TRUE
CDK8-CyclinC-Mediator complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
RET-Rai complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SHC3-GAB1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
ADAR1-CDK2 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
ARC92-Mediator complex	13	human	0	5	FALSE	TRUE	FALSE.TRUE
CRSP-Mediator 2 complex	10	human	0	3	FALSE	TRUE	FALSE.TRUE
SNARE complex (SNAP23, STX1A)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CERF complex (CECR2-containing remodeling factor complex)	2	human	0	1	FALSE	TRUE	FALSE.TRUE
PAR3-PAR6-PALS1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Remodeling and spacing factor (RSF) complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
SNF2L-RSF1 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
Toposome	7	human	7	7	TRUE	TRUE	TRUE.TRUE
WCRF complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
SCRIB-LGL2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CENP-A nucleosome associated complex	6	human	0	2	FALSE	TRUE	FALSE.TRUE
SCRIB-VANGL2 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CEN complex	37	human	9	25	TRUE	TRUE	TRUE.TRUE
Scrib-beta-PIX-GIT1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SCRIB-APC complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
FACT-NEK9 complex	3	human	2	2	TRUE	TRUE	TRUE.TRUE
FACT complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
FACT complex, UV-activated	5	human	2	4	TRUE	TRUE	TRUE.TRUE
Class C Vps complex (VPS11, VPS18, STX7)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Class C Vps complex (VPS11, VPS18, VPS16)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
CDC7-DBF7 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
LLGL2-PAR-6B-PRKCI complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
LLGL1-PAR-6B-PRKCI complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
BRCA1-RAD50-MRE11-NBS1 complex	4	human	1	4	TRUE	TRUE	TRUE.TRUE
EED-EZH2 complex	5	human	2	2	TRUE	TRUE	TRUE.TRUE
GAA1-GPI8-PIGT-PIG-PIGS complex	5	human	0	1	FALSE	TRUE	FALSE.TRUE
Polycomb repressive complex 2 (PRC2)	5	human	3	3	TRUE	TRUE	TRUE.TRUE
KIN17-PCNA-RPA70 complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
p23 protein complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
TorsinA-TorsinB complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
RC complex (Replication competent complex)	9	human	0	4	FALSE	TRUE	FALSE.TRUE
RC complex during S-phase of cell cycle	13	human	2	8	TRUE	TRUE	TRUE.TRUE
RC complex during G2/M-phase of cell cycle	13	human	2	8	TRUE	TRUE	TRUE.TRUE
CAK complex (Cdk-activating kinase complex)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
HNF4A-SUB1 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
TFIIH transcription factor complex	10	human	2	2	TRUE	TRUE	TRUE.TRUE
CAK-ERCC2 complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
TFIIH transcription factor core complex	5	human	2	2	TRUE	TRUE	TRUE.TRUE
PCNA-PAF complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
p33ING1b-PCNA complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
SRA-SRC-1 ribonucleoprotein complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Snurportin-CRM1-RanGTP complex	3	human	3	3	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
ESR1-RELA-BCL3-NCOA3 complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
ZNF198-PML complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
ZNF198-SUMO1 complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
DIPA-MCRS1 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
SNX complex (SNX1, SNX6)	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	5	human	0	0	FALSE	FALSE	FALSE.FALSE
BAR-BCL2-CASP8 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
GRASP-GRP1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
IFP35-NMI complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CD8A-LCK complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
12S U11 snRNP	15	human	11	10	TRUE	TRUE	TRUE.TRUE
FIF-FGR2 complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
SNX complex (SNX1a, SNX2, SNX4)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SNX complex (SNX2), oligomeric	1	human	0	0	FALSE	FALSE	FALSE.FALSE
P-TEFb.2 complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
P-TEFb.1 complex	2	human	2	2	TRUE	TRUE	TRUE.TRUE
P-TEFb.4 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	5	human	0	3	FALSE	TRUE	FALSE.TRUE
DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	5	human	0	3	FALSE	TRUE	FALSE.TRUE
BIRC5-AURKB-INCENP-EVI5 complex	4	human	0	2	FALSE	TRUE	FALSE.TRUE
PRNP-ApolopoproteinE3 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
VAM1-VELI1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
APLG1-Rababtin5 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
SNX complex (SNX1a, SNX2, SNX4, LEPR)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
PCNA-KU antigen complex	3	human	2	3	TRUE	TRUE	TRUE.TRUE
SNX complex (SNX1a, SNX2, SNX4, INSR)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
SNX complex (SNX1a, SNX2, SNX4, EGFR)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
SNX complex (SNX1,1a,2,4, PDGF receptor)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	13	human	13	12	TRUE	TRUE	TRUE.TRUE
DNA polymerase alpha-primase complex	4	human	0	3	FALSE	TRUE	FALSE.TRUE
SNX complex (SNX1a, SNX2, SNX4, TFRC)	4	human	1	1	TRUE	TRUE	TRUE.TRUE
TFIIIC containing complex	5	human	0	5	FALSE	TRUE	FALSE.TRUE
TFIIIC containing-TOP1-SUB1 complex	7	human	2	7	TRUE	TRUE	TRUE.TRUE
DNA synthesome complex (17 subunits)	18	human	1	12	TRUE	TRUE	TRUE.TRUE
5S-DNA-TFIIIA-TFIIIC2 subcomplex	6	human	1	5	TRUE	TRUE	TRUE.TRUE
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	9	human	1	7	TRUE	TRUE	TRUE.TRUE
CRM1-Survivin-AuroraB mitotic complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
CRM1-Survivin mitotic complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)	4	human	0	3	FALSE	TRUE	FALSE.TRUE
WNK1-OSR1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
WNK1-SPAk complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Hip1R-cortactin complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
RFC2-RIalpha complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
RFC2-RIalpha complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ATR-HDAC2 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
ATR-HDAC2-CHD4 complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
SNARE complex (VAMP2, SNAP25, STX1a, CPLX1, CPLX3)	5	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (VAMP2, SNAP25, STX1a, CPLX3, CPLX4)	5	human	0	0	FALSE	FALSE	FALSE.FALSE
SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4)	7	human	0	0	FALSE	FALSE	FALSE.FALSE
Complexin complex (STX3, CPLX1, CPLX3)	3	human	0	0	FALSE	FALSE	FALSE.FALSE
CF IIAm complex (Cleavage factor IIAm complex)	16	human	11	9	TRUE	TRUE	TRUE.TRUE
SMN complex	16	human	10	11	TRUE	TRUE	TRUE.TRUE
Cleavage and polyadenylation factor (CPSF)	5	human	5	2	TRUE	TRUE	TRUE.TRUE
Cleavage stimulation factor	3	human	3	0	TRUE	FALSE	TRUE.FALSE
Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)	7	human	6	2	TRUE	TRUE	TRUE.TRUE
snRNP-free U1A (SF-A) complex	4	human	4	3	TRUE	TRUE	TRUE.TRUE
Histone H3.1 complex	10	human	1	8	TRUE	TRUE	TRUE.TRUE
Histone H3.3 complex	9	human	1	7	TRUE	TRUE	TRUE.TRUE
Integrator complex	12	human	0	5	FALSE	TRUE	FALSE.TRUE
DSS1 complex	13	human	0	5	FALSE	TRUE	FALSE.TRUE
Integrator-RNAPII complex	14	human	2	7	TRUE	TRUE	TRUE.TRUE
p33ING1b-HDAC1 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
ING1-p300-PCNA complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (DDB1, DDB2, CUL4A, CUL4B, RBX1)	5	human	0	3	FALSE	TRUE	FALSE.TRUE
RNF20-RNF40-UbE2E1 complex	3	human	2	3	TRUE	TRUE	TRUE.TRUE
p400-associated complex	7	human	0	4	FALSE	TRUE	FALSE.TRUE
Paf complex	5	human	0	4	FALSE	TRUE	FALSE.TRUE
SKI complex	3	human	1	1	TRUE	TRUE	TRUE.TRUE
SNARE complex (STX4, VAMP8, VAMP3, SNAP23)	4	human	0	0	FALSE	FALSE	FALSE.FALSE
cMYC-ATPase-helicase complex	5	human	0	5	FALSE	TRUE	FALSE.TRUE
CBC complex (cap binding complex)	2	human	2	1	TRUE	TRUE	TRUE.TRUE
TIP49-TIP48-BAF53 complex	3	human	0	3	FALSE	TRUE	FALSE.TRUE
PHAX-CBC complex (cap binding complex)	3	human	3	2	TRUE	TRUE	TRUE.TRUE
TRRAP-BAF53-HAT complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
CRM1-RAN-PHAX-CBC complex (cap binding complex)	5	human	5	4	TRUE	TRUE	TRUE.TRUE
Polycomb repressive complex 4 (PRC4)	3	human	1	0	TRUE	FALSE	TRUE.FALSE
BCOR complex	8	human	2	5	TRUE	TRUE	TRUE.TRUE
CENP-A NAC-CAD complex	13	human	0	3	FALSE	TRUE	FALSE.TRUE
C complex spliceosome	80	human	69	65	TRUE	TRUE	TRUE.TRUE
CDC5L core complex	6	human	3	5	TRUE	TRUE	TRUE.TRUE
CDC5L complex	30	human	23	23	TRUE	TRUE	TRUE.TRUE
EGFR-containing signaling complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
ESCRT-III complex	10	human	0	0	FALSE	FALSE	FALSE.FALSE
ESCRT-II complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
DNA double-strand break end-joining complex	7	human	2	6	TRUE	TRUE	TRUE.TRUE
NCBP-NIP1 complex	2	human	1	1	TRUE	TRUE	TRUE.TRUE
RNA pol II containing coactivator complex Tat-SF	5	human	5	5	TRUE	TRUE	TRUE.TRUE
ESCRT-I complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Rap1 complex	7	human	3	7	TRUE	TRUE	TRUE.TRUE
E2F-6 complex	12	human	0	4	FALSE	TRUE	FALSE.TRUE
Exon junction complex (mRNA splicing-dependent)	2	human	2	2	TRUE	TRUE	TRUE.TRUE
TIN2 complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
Oligosaccharyltransferase complex (Stt3A variant)	6	human	1	3	TRUE	TRUE	TRUE.TRUE
Oligosaccharyltransferase complex (Stt3B variant)	7	human	1	4	TRUE	TRUE	TRUE.TRUE
TRF1-TIN2 complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
TRF1 telomere length regulation complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
Rap1 complex	7	human	3	7	TRUE	TRUE	TRUE.TRUE
TRF2-Rap1 complex III	2	human	0	2	FALSE	TRUE	FALSE.TRUE
TRF-Rap1 complex I, 2MD	6	human	0	2	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	6	human	1	3	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)	5	human	0	3	FALSE	TRUE	FALSE.TRUE
WRN-TRF2 complex	2	human	0	2	FALSE	TRUE	FALSE.TRUE
BLM-TRF2 complex	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Tankyrin 1-tankyrin 2-TRF1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
TRF2-Ku complex	3	human	2	3	TRUE	TRUE	TRUE.TRUE
TFIIA-TRF2 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
H2AX complex, isolated from cells without IR exposure	13	human	9	12	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (BMI1, SPOP, CUL3)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
H2AX complex I	7	human	4	7	TRUE	TRUE	TRUE.TRUE
H2AX complex II	10	human	5	8	TRUE	TRUE	TRUE.TRUE
WINAC complex	14	human	2	11	TRUE	TRUE	TRUE.TRUE
FIB-associated protein complex	6	human	3	5	TRUE	TRUE	TRUE.TRUE
REST-CoREST-mSIN3A complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
CoREST-HDAC2 complex	2	human	1	2	TRUE	TRUE	TRUE.TRUE
BAF complex	13	human	1	6	TRUE	TRUE	TRUE.TRUE
EBAFb complex	10	human	1	9	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (SPOP, DAXX, CUL3)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Protein phosphatase 4 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Apoptosome	2	human	0	1	FALSE	TRUE	FALSE.TRUE
pRB-E2F-1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
EBAFa complex	10	human	1	8	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
Menin-associated histone methyltransferase complex	7	human	1	4	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X)	4	human	0	2	FALSE	TRUE	FALSE.TRUE
MLL-HCF complex	7	human	0	3	FALSE	TRUE	FALSE.TRUE
ALL-1 supercomplex	28	human	9	26	TRUE	TRUE	TRUE.TRUE
Ubiquitin E3 ligase (GLMN, FBXW8, SKP1A, RBX1)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
Chromatin assembly complex (CAF-1 complex)	3	human	0	2	FALSE	TRUE	FALSE.TRUE
Neddylin ligase (FBXO11, SKP1, CUL1, RBX1)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
SRm160/300 complex	5	human	5	5	TRUE	TRUE	TRUE.TRUE
MKK4-ARRB2-ASK1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
MKK4-ARRB2-JNK3 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
POSH-MLK3 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CRLR-RAMP1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
CRLR-RAMP1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Large Drosha complex	20	human	20	20	TRUE	TRUE	TRUE.TRUE
FOXO3-PCAF complex, oxidative stress stimulated	2	human	0	0	FALSE	FALSE	FALSE.FALSE
Septin complex	5	human	0	4	FALSE	TRUE	FALSE.TRUE
ING4 complex (ING4, MYST2, C1orf149, PHF17)	4	human	0	3	FALSE	TRUE	FALSE.TRUE
Rb-tal-1-E2A-Lmo2-Ldb1 complex	5	human	0	0	FALSE	FALSE	FALSE.FALSE
hASC-1 complex	4	human	2	1	TRUE	TRUE	TRUE.TRUE
GALNS-lysosomal hydrolase 1.27 MDa complex	4	human	0	0	FALSE	FALSE	FALSE.FALSE
Elongator holo complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
ASCOM complex	7	human	1	5	TRUE	TRUE	TRUE.TRUE
NCOR1 complex	10	human	3	8	TRUE	TRUE	TRUE.TRUE
SMAD3/4-E2F4/5-p107-DP1 complex	6	human	0	2	FALSE	TRUE	FALSE.TRUE
NCOR2 complex	7	human	2	6	TRUE	TRUE	TRUE.TRUE
Vigilin-DNA-PK-Ku antigen complex	4	human	4	4	TRUE	TRUE	TRUE.TRUE
p27-cyclinE-CDK2 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
PRMT1 complex	1	human	1	1	TRUE	TRUE	TRUE.TRUE
SF3A1-SF3A2-SF3A3 complex	3	human	3	2	TRUE	TRUE	TRUE.TRUE
SF3b complex	8	human	7	7	TRUE	TRUE	TRUE.TRUE
(E.F.G) complex	3	human	3	3	TRUE	TRUE	TRUE.TRUE
SMN containing complex	8	human	6	5	TRUE	TRUE	TRUE.TRUE
SMN-PolII-RHA complex	10	human	5	6	TRUE	TRUE	TRUE.TRUE
PPP4C-PPP4R2-Gemin3-Gemin4 complex	4	human	0	2	FALSE	TRUE	FALSE.TRUE
TGF-beta-receptor-PAR6 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
LINGO-1-Nogo-66-p75 signaling complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGA4-PXN-GIT1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
AXIN-MEKK4-CCD1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
SMAD3-HEF1-APC10-CDH1 complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
PML-SMAD2/3-SARA complex	4	human	0	3	FALSE	TRUE	FALSE.TRUE
TGF-beta receptor I-Axin-SMAD3 complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
PIAS3-SMAD3-P300 complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
SNARE complex (SNAP25, VAMP3, VAMP2, NAPB, STX13)	5	human	0	0	FALSE	FALSE	FALSE.FALSE
RICTOR-mTOR complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
MALT1 oligomer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
BCL10 oligomer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
BCL10-MALT1 complex	2	human	0	0	FALSE	FALSE	FALSE.FALSE
TRAF6 oligomer complex	1	human	0	0	FALSE	FALSE	FALSE.FALSE
IKK-alpha--ER-alpha-AIB1 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
ITGAM-ITGB2-CD11 complex	3	human	0	0	FALSE	FALSE	FALSE.FALSE
AR-AKT-APPL complex	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (CDC34, CUL1, RBX1)	3	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (CHEK1, CUL4A)	2	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)	4	human	0	3	FALSE	TRUE	FALSE.TRUE
COP9 signalosome complex	9	human	1	1	TRUE	TRUE	TRUE.TRUE
Kaiso-NCOR complex	10	human	0	5	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (NFKBIA, FBXW11, BTRC, CUL1, SKP1A)	5	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (CDC34, NEDD8, BTRC, CUL1, SKP1A, RBX1)	5	human	0	2	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (SMAD3, BTRC, CUL1, SKP1A, RBX1)	5	human	0	2	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (FBXO18, SKP1A, CUL1, RBX1)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
Ubiquitin E3 ligase (NIPA, SKP1A, CUL1, RBX1)	4	human	0	1	FALSE	TRUE	FALSE.TRUE
LIG1-9-1-1 complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
FEN1-9-1-1 complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
RAD9-RAD1-HUS1-POLB complex	4	human	0	1	FALSE	TRUE	FALSE.TRUE
BRD4-RFC complex	6	human	0	3	FALSE	TRUE	FALSE.TRUE
MCM8-ORC2-CDC6 complex	3	human	0	2	FALSE	TRUE	FALSE.TRUE
BRCA1-IRIS-pre-replication complex	4	human	0	3	FALSE	TRUE	FALSE.TRUE
BARD1-BRCA1-CSTF complex	5	human	5	2	TRUE	TRUE	TRUE.TRUE
BRCA1-BARD1-POLR2A complex	3	human	3	3	TRUE	TRUE	TRUE.TRUE
LMO4-BRCA1-CTIP-LDB1 complex	4	human	1	2	TRUE	TRUE	TRUE.TRUE
BRCA1-LMO4-CTIP complex	3	human	1	2	TRUE	TRUE	TRUE.TRUE
MDC1-MRN-ATM-FANCD2 complex	6	human	0	5	FALSE	TRUE	FALSE.TRUE
